Locus Tag ID,Annotation,Amino Acid Length/Accession Number,Protein Description,Protein.ID,Location,Percent.Identity,,,,,,,,,,,
NGO1758,Old_annotation_FA1090,"896aa, >lcl|NC 002946.2 cdsid YP 208791.1",bifunctional glutamine-synthetase adenylyltransferase/deadenyltransferase,YP_208791.1,complement(1719259..1721949),100%,,,,,,,,,,,
NGO_1759,New_annotation_FA1090,"111aa, >lcl|AE004969.1 prot AAW90380.1 1712",hypothetical protein,AAW90380.1,complement(1722143..1722478),100%,,,,,,,,,,,
NGO1759,Old_annotation_FA1090,"111aa, >lcl|NC 002946.2 cdsid YP 208792.1",hypothetical protein,YP_208792.1,complement(1722143..1722478),100%,,,,,,,,,,,
NGO_1760,New_annotation_FA1090,"157aa, >lcl|AE004969.1 prot AAW90381.1 1713",hypothetical protein,AAW90381.1,complement(1722492..1722965),100%,,,,,,,,,,,
NGO1760,Old_annotation_FA1090,"157aa, >lcl|NC 002946.2 cdsid YP 208793.1",hypothetical protein,YP_208793.1,complement(1722492..1722965),100%,,,,,,,,,,,
NGO_1761,New_annotation_FA1090,"335aa, >lcl|AE004969.1 prot AAW90382.1 1714",dihydroorotate dehydrogenase,AAW90382.1,complement(1723162..1724169),100%,,,,,,,,,,,
NGO1761,Old_annotation_FA1090,"335aa, >lcl|NC 002946.2 cdsid YP 208794.1",dihydroorotate dehydrogenase 2,YP_208794.1,complement(1723162..1724169),100%,,,,,,,,,,,
NGO_1762,New_annotation_FA1090,"78aa, >lcl|AE004969.1 prot AAW90383.1 1715",acyl carrier protein,AAW90383.1,1724401..1724637,100%,,,,,,,,,,,
NGO1762,Old_annotation_FA1090,"78aa, >lcl|NC 002946.2 cdsid YP 208795.1",acyl carrier protein,YP_208795.1,1724401..1724637,100%,,,,,,,,,,,
NGO_1763,New_annotation_FA1090,"415aa, >lcl|AE004969.1 prot AAW90384.1 1716",3-oxoacyl-ACP synthase,AAW90384.1,1724794..1726041,100%,,,,,,,,,,,
NGO1763,Old_annotation_FA1090,"415aa, >lcl|NC 002946.2 cdsid YP 208796.1",3-oxoacyl-ACP synthase,YP_208796.1,1724794..1726041,100%,,,,,,,,,,,
NGO_09360,New_annotation_FA1090,"185aa, >lcl|AE004969.1 prot AKO63767.1 1717",transporter,AKO63767.1,1726434..1726991,Present only in new annotation,,,,,,,,,,,
NGO_09365,New_annotation_FA1090,"60aa, >lcl|AE004969.1 prot AKO63768.1 1718",hypothetical protein,AKO63768.1,complement(1727003..1727185),Present only in new annotation,,,,,,,,,,,
NGO_09370,New_annotation_FA1090,"106aa, >lcl|AE004969.1 prot AKO63769.1 1719",transporter,AKO63769.1,1727351..1727671,Present only in new annotation,,,,,,,,,,,
NGO_1765,New_annotation_FA1090,"376aa, >lcl|AE004969.1 prot AAW90385.1 1720",glycosyl transferase family 1,AAW90385.1,1728025..1729155,100%,,,,,,,,,,,
NGO1765,Old_annotation_FA1090,"376aa, >lcl|NC 002946.2 cdsid YP 208797.1",glycosyltransferase,YP_208797.1,1728025..1729155,100%,,,,,,,,,,,
NGO_09380,New_annotation_FA1090,"277aa, >lcl|AE004969.1 prot AKO63770.1 1721",RNA polymerase sigma factor,AKO63770.1,complement(1729637..1730470),Present only in new annotation,,,,,,,,,,,
NGO_09385,New_annotation_FA1090,"69aa, >lcl|AE004969.1 prot AKO63771.1 1722",hypothetical protein,AKO63771.1,complement(1730561..1730770),Present only in new annotation,,,,,,,,,,,
NGO_1767,New_annotation_FA1090,"504aa, >lcl|AE004969.1 prot AAW90386.1 1723",catalase,AAW90386.1,1730757..1732271,100%,,,,,,,,,,,
NGO1767,Old_annotation_FA1090,"504aa, >lcl|NC 002946.2 cdsid YP 208798.1",catalase,YP_208798.1,1730757..1732271,100%,,,,,,,,,,,
NGO_1768,New_annotation_FA1090,"188aa, >lcl|AE004969.1 prot AAW90387.1 1724",membrane protein,AAW90387.1,1732787..1733353,100%,,,,,,,,,,,
NGO1768,Old_annotation_FA1090,"188aa, >lcl|NC 002946.2 cdsid YP 208799.1",hypothetical protein,YP_208799.1,1732787..1733353,100%,,,,,,,,,,,
NGO_1769,New_annotation_FA1090,"387aa, >lcl|AE004969.1 prot AAW90388.1 1725",cytochrome C peroxidase,AAW90388.1,1733575..1734738,100%,,,,,,,,,,,
NGO1769,Old_annotation_FA1090,"387aa, >lcl|NC 002946.2 cdsid YP 208800.1",cytochrome-c peroxidase,YP_208800.1,1733575..1734738,100%,,,,,,,,,,,
NGO_1770,New_annotation_FA1090,"678aa, >lcl|AE004969.1 prot AAW90389.1 1726",oligopeptidase A,AAW90389.1,complement(1735319..1737355),100%,,,,,,,,,,,
NGO1770,Old_annotation_FA1090,"678aa, >lcl|NC 002946.2 cdsid YP 208801.1",PrlC protein,YP_208801.1,complement(1735319..1737355),100%,,,,,,,,,,,
NGO_1771,New_annotation_FA1090,"290aa, >lcl|AE004969.1 prot AAW90390.2 1727",membrane protein,AAW90390.2,complement(1737443..1738315),100%,,,,,,,,,,,
NGO1771,Old_annotation_FA1090,"330 aa, >lcl |NC_002946.2_cdsid_YP_208802.1",conserved hypothetical protein,YP_208802.1,complement(1737443..1738435),<100%,,,,,,,,,,,
NGO_1772,New_annotation_FA1090,"796aa, >lcl|AE004969.1 prot AAW90391.1 1728",DNA gyrase subunit B,AAW90391.1,1738581..1740971,100%,,,,,,,,,,,
NGO1772,Old_annotation_FA1090,"796aa, >lcl|NC 002946.2 cdsid YP 208803.1",DNA gyrase subunit B,YP_208803.1,1738581..1740971,100%,,,,,,,,,,,
NGO_1773,New_annotation_FA1090,"461aa, >lcl|AE004969.1 prot AAW90392.1 1729",serine dehydratase,AAW90392.1,1741070..1742455,100%,,,,,,,,,,,
NGO1773,Old_annotation_FA1090,"461aa, >lcl|NC 002946.2 cdsid YP 208804.1",hypothetical protein,YP_208804.1,1741070..1742455,100%,,,,,,,,,,,
NGO_09425,New_annotation_FA1090,"32aa, >lcl|AE004969.1 prot AKO63772.1 1730",eamA-like transporter family protein,AKO63772.1,complement(1742526..1742624),Present only in new annotation,,,,,,,,,,,
NGO_09430,New_annotation_FA1090,"65aa, >lcl|AE004969.1 prot AKO63773.1 1731",hypothetical protein,AKO63773.1,1742873..1743070,Present only in new annotation,,,,,,,,,,,
NGO_1775,New_annotation_FA1090,"279aa, >lcl|AE004969.1 prot AAW90394.1 1732",ferredoxin,AAW90394.1,1745797..1746636,100%,,,,,,,,,,,
NGO1775,Old_annotation_FA1090,"279aa, >lcl|NC 002946.2 cdsid YP 208806.1",ferredoxin,YP_208806.1,1745797..1746636,100%,,,,,,,,,,,
NGO_1776,New_annotation_FA1090,"343aa, >lcl|AE004969.1 prot AAW90395.1 1733",glyceraldehyde-3-phosphate dehydrogenase,AAW90395.1,1746835..1747866,100%,,,,,,,,,,,
NGO1776,Old_annotation_FA1090,"343aa, >lcl|NC 002946.2 cdsid YP 208807.1",glyceraldehyde-3-phosphate dehydrogenase,YP_208807.1,1746835..1747866,100%,,,,,,,,,,,
NGO_1777,New_annotation_FA1090,"52aa, >lcl|AE004969.1 prot AAW90396.1 1734",hypothetical protein,AAW90396.1,1747904..1748062,100%,,,,,,,,,,,
NGO1777,Old_annotation_FA1090,"52aa, >lcl|NC 002946.2 cdsid YP 208808.1",hypothetical protein,YP_208808.1,1747904..1748062,100%,,,,,,,,,,,
NGO_1778,New_annotation_FA1090,"241aa, >lcl|AE004969.1 prot AAW90397.1 1735",leucyl/phenylalanyl-tRNA--protein transferase,AAW90397.1,complement(1748121..1748846),100%,,,,,,,,,,,
NGO1778,Old_annotation_FA1090,"241aa, >lcl|NC 002946.2 cdsid YP 208809.1",leucyl/phenylalanyl-tRNA--protein transferase,YP_208809.1,complement(1748121..1748846),100%,,,,,,,,,,,
NGO_1779,New_annotation_FA1090,"144aa, >lcl|AE004969.1 prot AAW90398.1 1736",Fur family transcriptional regulator,AAW90398.1,complement(1748916..1749350),100%,,,,,,,,,,,
NGO1779,Old_annotation_FA1090,"144aa, >lcl|NC 002946.2 cdsid YP 208810.1",hypothetical protein,YP_208810.1,complement(1748916..1749350),100%,,,,,,,,,,,
NGO_1780,New_annotation_FA1090,"125aa, >lcl|AE004969.1 prot AAW90399.1 1737",outer membrane protein assembly factor BamE,AAW90399.1,1749577..1749954,100%,,,,,,,,,,,
NGO1780,Old_annotation_FA1090,"125aa, >lcl|NC 002946.2 cdsid YP 208811.1",hypothetical protein,YP_208811.1,1749577..1749954,100%,,,,,,,,,,,
NGO_1781,New_annotation_FA1090,"269aa, >lcl|AE004969.1 prot AAW90400.1 1738",dihydrodipicolinate reductase,AAW90400.1,1749964..1750773,100%,,,,,,,,,,,
NGO1781,Old_annotation_FA1090,"269aa, >lcl|NC 002946.2 cdsid YP 208812.1",dihydrodipicolinate reductase,YP_208812.1,1749964..1750773,100%,,,,,,,,,,,
NGO_1782,New_annotation_FA1090,"390aa, >lcl|AE004969.1 prot AAW90401.1 1739",lipid-A-disaccharide synthase,AAW90401.1,complement(1751413..1752585),100%,,,,,,,,,,,
NGO1782,Old_annotation_FA1090,"390aa, >lcl|NC 002946.2 cdsid YP 208813.1",lipid-A-disaccharide synthase,YP_208813.1,complement(1751413..1752585),100%,,,,,,,,,,,
NGO_1783,New_annotation_FA1090,"330aa, >lcl|AE004969.1 prot AAW90402.1 1740",pseudouridine synthase,AAW90402.1,complement(1752736..1753728),100%,,,,,,,,,,,
NGO1783,Old_annotation_FA1090,"330aa, >lcl|NC 002946.2 cdsid YP 208814.1",protein RluC,YP_208814.1,complement(1752736..1753728),100%,,,,,,,,,,,
NGO_1784,New_annotation_FA1090,"101aa, >lcl|AE004969.1 prot AAW90403.1 1741",pseudouridine synthase,AAW90403.1,complement(1753810..1754115),100%,,,,,,,,,,,
NGO1784,Old_annotation_FA1090,"101aa, >lcl|NC 002946.2 cdsid YP 208815.1",hypothetical protein,YP_208815.1,complement(1753810..1754115),100%,,,,,,,,,,,
NGO_1785,New_annotation_FA1090,"919aa, >lcl|AE004969.1 prot AAW90404.1 1742",ribonuclease E,AAW90404.1,1754221..1756980,100%,,,,,,,,,,,
NGO1785,Old_annotation_FA1090,"919aa, >lcl|NC 002946.2 cdsid YP 208816.1",ribonuclease E,YP_208816.1,1754221..1756980,100%,,,,,,,,,,,
NGO_1786,New_annotation_FA1090,"330aa, >lcl|AE004969.1 prot AAW90405.1 1743",4-hydroxythreonine-4-phosphate dehydrogenase,AAW90405.1,complement(1757210..1758202),100%,,,,,,,,,,,
NGO1786,Old_annotation_FA1090,"330aa, >lcl|NC 002946.2 cdsid YP 208817.1",4-hydroxythreonine-4-phosphate dehydrogenase,YP_208817.1,complement(1757210..1758202),100%,,,,,,,,,,,
NGO_1787,New_annotation_FA1090,"475aa, >lcl|AE004969.1 prot AAW90406.1 1744",sodium:alanine symporter,AAW90406.1,1758361..1759788,100%,,,,,,,,,,,
NGO1787,Old_annotation_FA1090,"475aa, >lcl|NC 002946.2 cdsid YP 208818.1",amino-acid transport protein,YP_208818.1,1758361..1759788,100%,,,,,,,,,,,
NGO_1788,New_annotation_FA1090,"631aa, >lcl|AE004969.1 prot AAW90407.2 1745",tRNA uridine 5-carboxymethylaminomethyl modification protein,AAW90407.2,1759961..1761856,100%,,,,,,,,,,,
NGO1788,Old_annotation_FA1090,"628aa, >lcl|NC 002946.2 cdsid YP 208819.1",tRNA uridine 5-carboxymethylaminomethyl modification protein GidA,YP_208819.1,1759970..1761856,100%,,,,,,,,,,,
NGO_1789,New_annotation_FA1090,"194aa, >lcl|AE004969.1 prot AAW90408.1 1746",ribonuclease HII,AAW90408.1,1761924..1762508,100%,,,,,,,,,,,
NGO1789,Old_annotation_FA1090,"194aa, >lcl|NC 002946.2 cdsid YP 208820.1",ribonuclease HII,YP_208820.1,1761924..1762508,100%,,,,,,,,,,,
NGO_1790,New_annotation_FA1090,"257aa, >lcl|AE004969.1 prot AAW90409.1 1747",chromosome partitioning protein,AAW90409.1,complement(1763256..1764029),100%,,,,,,,,,,,
NGO1790,Old_annotation_FA1090,"257aa, >lcl|NC 002946.2 cdsid YP 208821.1",parA family protein - ATPase,YP_208821.1,complement(1763256..1764029),100%,,,,,,,,,,,
NGO_1791,New_annotation_FA1090,"207aa, >lcl|AE004969.1 prot AAW90410.1 1748",16S rRNA methyltransferase,AAW90410.1,complement(1764129..1764752),100%,,,,,,,,,,,
NGO1791,Old_annotation_FA1090,"207aa, >lcl|NC 002946.2 cdsid YP 208822.1",16S rRNA methyltransferase GidB,YP_208822.1,complement(1764129..1764752),100%,,,,,,,,,,,
NGO_1792,New_annotation_FA1090,"159aa, >lcl|AE004969.1 prot AAW90411.2 1749",membrane protein,AAW90411.2,complement(1764847..1765326),100%,,,,,,,,,,,
NGO1792,Old_annotation_FA1090,"191 aa, >lcl |NC_002946.2_cdsid_YP_208823.1",conserved hypothetical protein,YP_208823.1,complement(1764847..1765422),<100%,,,,,,,,,,,
NGO1793,Old_annotation_FA1090,"409 aa, >lcl |NC_002946.2_cdsid_YP_208824.1",conserved hypothetical protein,YP_208824.1,1765476..1766705,<100%,,,,,,,,,,,
NGO_1793,New_annotation_FA1090,"375aa, >lcl|AE004969.1 prot AAW90412.2 1750",membrane protein,AAW90412.2,1765578..1766705,100%,,,,,,,,,,,
NGO_09570,New_annotation_FA1090,"171aa, >lcl|AE004969.1 prot AKO63774.1 1751",type II restriction enzyme NgoPII,AKO63774.1,1767136..1767651,Present only in new annotation,,,,,,,,,,,
NGO1795,Old_annotation_FA1090,"341 aa, >lcl |NC_002946.2_cdsid_YP_208825.1",site-specific DNA-methyltransferase M. NgoPII,YP_208825.1,1767623..1768648,<100%,,,,,,,,,,,
NGO_1795,New_annotation_FA1090,"330aa, >lcl|AE004969.1 prot AAW90413.2 1752",modification methylase,AAW90413.2,1767656..1768648,100%,,,,,,,,,,,
NGO_1796,New_annotation_FA1090,"185aa, >lcl|AE004969.1 prot AAW90414.1 1753",ribosome-recycling factor,AAW90414.1,1768790..1769347,100%,,,,,,,,,,,
NGO1796,Old_annotation_FA1090,"185aa, >lcl|NC 002946.2 cdsid YP 208826.1",ribosome recycling factor,YP_208826.1,1768790..1769347,100%,,,,,,,,,,,
NGO_1797,New_annotation_FA1090,"248aa, >lcl|AE004969.1 prot AAW90415.1 1754",UDP diphosphate synthase,AAW90415.1,1769403..1770149,100%,,,,,,,,,,,
NGO1797,Old_annotation_FA1090,"248aa, >lcl|NC 002946.2 cdsid YP 208827.1",undecaprenyl diphosphate synthase,YP_208827.1,1769403..1770149,100%,,,,,,,,,,,
NGO_1798,New_annotation_FA1090,"265aa, >lcl|AE004969.1 prot AAW90416.1 1755",phosphatidate cytidylyltransferase,AAW90416.1,1770152..1770949,100%,,,,,,,,,,,
NGO1798,Old_annotation_FA1090,"265aa, >lcl|NC 002946.2 cdsid YP 208828.1",phosphatidate cytidylyltransferase,YP_208828.1,1770152..1770949,100%,,,,,,,,,,,
NGO_1799,New_annotation_FA1090,"394aa, >lcl|AE004969.1 prot AAW90417.1 1756",1-deoxy-D-xylulose 5-phosphate reductoisomerase,AAW90417.1,1771005..1772189,100%,,,,,,,,,,,
NGO1799,Old_annotation_FA1090,"394aa, >lcl|NC 002946.2 cdsid YP 208829.1",1-deoxy-D-xylulose 5-phosphate reductoisomerase,YP_208829.1,1771005..1772189,100%,,,,,,,,,,,
NGO_1800,New_annotation_FA1090,"446aa, >lcl|AE004969.1 prot AAW90418.1 1757",zinc metalloprotease,AAW90418.1,1772224..1773564,100%,,,,,,,,,,,
NGO1800,Old_annotation_FA1090,"446aa, >lcl|NC 002946.2 cdsid YP 208830.1",hypothetical protein,YP_208830.1,1772224..1773564,100%,,,,,,,,,,,
NGO_1801,New_annotation_FA1090,"792aa, >lcl|AE004969.1 prot AAW90419.1 1758",membrane protein,AAW90419.1,1773621..1775999,100%,,,,,,,,,,,
NGO1801,Old_annotation_FA1090,"792aa, >lcl|NC 002946.2 cdsid YP 208831.1",hypothetical protein,YP_208831.1,1773621..1775999,100%,,,,,,,,,,,
NGO1802,Old_annotation_FA1090,"185 aa, >lcl |NC_002946.2_cdsid_YP_208832.1",conserved hypothetical protein,YP_208832.1,1776008..1776565,<100%,,,,,,,,,,,
NGO_1802,New_annotation_FA1090,"166aa, >lcl|AE004969.1 prot AAW90420.2 1759",membrane protein,AAW90420.2,1776065..1776565,100%,,,,,,,,,,,
NGO_1803,New_annotation_FA1090,"347aa, >lcl|AE004969.1 prot AAW90421.1 1760",UDP-3-O-(3-hydroxymyristoyl) glucosamine N-acyltransferase,AAW90421.1,1776598..1777641,100%,,,,,,,,,,,
NGO1803,Old_annotation_FA1090,"347aa, >lcl|NC 002946.2 cdsid YP 208833.1",UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase,YP_208833.1,1776598..1777641,100%,,,,,,,,,,,
NGO_1804,New_annotation_FA1090,"149aa, >lcl|AE004969.1 prot AAW90422.1 1761",3-hydroxyacyl-ACP dehydratase,AAW90422.1,1777677..1778126,100%,,,,,,,,,,,
NGO1804,Old_annotation_FA1090,"149aa, >lcl|NC 002946.2 cdsid YP 208834.1",(3R)-hydroxymyristoyl-ACP dehydratase,YP_208834.1,1777677..1778126,100%,,,,,,,,,,,
NGO_1805,New_annotation_FA1090,"228aa, >lcl|AE004969.1 prot AAW90423.1 1762",abi-like family protein,AAW90423.1,1778333..1779019,100%,,,,,,,,,,,
NGO1805,Old_annotation_FA1090,"228aa, >lcl|NC 002946.2 cdsid YP 208835.1",hypothetical protein,YP_208835.1,1778333..1779019,100%,,,,,,,,,,,
NGO_1806,New_annotation_FA1090,"258aa, >lcl|AE004969.1 prot AAW90424.1 1763",UDP-N-acetylglucosamine acyltransferase,AAW90424.1,1779062..1779838,100%,,,,,,,,,,,
NGO1806,Old_annotation_FA1090,"258aa, >lcl|NC 002946.2 cdsid YP 208836.1",UDP-N-acetylglucosamine acyltransferase,YP_208836.1,1779062..1779838,100%,,,,,,,,,,,
NGO_1807,New_annotation_FA1090,"463aa, >lcl|AE004969.1 prot AAW90425.1 1764",transporter,AAW90425.1,1780301..1781692,100%,,,,,,,,,,,
NGO1807,Old_annotation_FA1090,"463aa, >lcl|NC 002946.2 cdsid YP 208837.1",amino-acid transporter,YP_208837.1,1780301..1781692,100%,,,,,,,,,,,
NGO_1808,New_annotation_FA1090,"419aa, >lcl|AE004969.1 prot AAW90426.1 1765",amino acid dehydrogenase,AAW90426.1,1781771..1783030,100%,,,,,,,,,,,
NGO1808,Old_annotation_FA1090,"419aa, >lcl|NC 002946.2 cdsid YP 208838.1",D-amino acid dehydrogenase small subunit,YP_208838.1,1781771..1783030,100%,,,,,,,,,,,
NGO_1809,New_annotation_FA1090,"945aa, >lcl|AE004969.1 prot AAW90427.1 1766",valyl-tRNA synthetase,AAW90427.1,1783135..1785972,100%,,,,,,,,,,,
NGO1809,Old_annotation_FA1090,"945aa, >lcl|NC 002946.2 cdsid YP 208839.1",valyl-tRNA synthetase,YP_208839.1,1783135..1785972,100%,,,,,,,,,,,
NGO_1810,New_annotation_FA1090,"154aa, >lcl|AE004969.1 prot AAW90428.1 1767",hypothetical protein,AAW90428.1,1786049..1786513,100%,,,,,,,,,,,
NGO1810,Old_annotation_FA1090,"154aa, >lcl|NC 002946.2 cdsid YP 208840.1",hypothetical protein,YP_208840.1,1786049..1786513,100%,,,,,,,,,,,
NGO_1811,New_annotation_FA1090,"265aa, >lcl|AE004969.1 prot AAW90429.1 1768",pseudouridine synthase,AAW90429.1,1787384..1788181,100%,,,,,,,,,,,
NGO1811,Old_annotation_FA1090,"265aa, >lcl|NC 002946.2 cdsid YP 208841.1",tRNA pseudouridine synthase A,YP_208841.1,1787384..1788181,100%,,,,,,,,,,,
NGO_1812,New_annotation_FA1090,"348aa, >lcl|AE004969.1 prot AAW90430.1 1769",membrane protein,AAW90430.1,1788698..1789744,100%,,,,,,,,,,,
NGO1812,Old_annotation_FA1090,"348aa, >lcl|NC 002946.2 cdsid YP 208842.1",major outer membrane protein porin P.IB,YP_208842.1,1788698..1789744,100%,,,,,,,,,,,
NGO_1813,New_annotation_FA1090,"306aa, >lcl|AE004969.1 prot AAW90431.1 1770",LysR family transcriptional regulator,AAW90431.1,complement(1790265..1791185),100%,,,,,,,,,,,
NGO1813,Old_annotation_FA1090,"306aa, >lcl|NC 002946.2 cdsid YP 208843.1",LysR family transcriptional regulator,YP_208843.1,complement(1790265..1791185),100%,,,,,,,,,,,
NGO_1814,New_annotation_FA1090,"87aa, >lcl|AE004969.1 prot AAW90432.1 1771",cell division topological specificity factor MinE,AAW90432.1,complement(1791189..1791452),100%,,,,,,,,,,,
NGO1814,Old_annotation_FA1090,"87aa, >lcl|NC 002946.2 cdsid YP 208844.1",cell division topological specificity factor MinE,YP_208844.1,complement(1791189..1791452),100%,,,,,,,,,,,
NGO_09675,New_annotation_FA1090,"271aa, >lcl|AE004969.1 prot AKO63775.1 1772",cell division inhibitor MinD,AKO63775.1,complement(1791456..1792271),Present only in new annotation,,,,,,,,,,,
NGO_1816,New_annotation_FA1090,"237aa, >lcl|AE004969.1 prot AAW90433.1 1773",septum formation inhibitor,AAW90433.1,complement(1792300..1793013),100%,,,,,,,,,,,
NGO1816,Old_annotation_FA1090,"237aa, >lcl|NC 002946.2 cdsid YP 208845.1",septum formation inhibitor,YP_208845.1,complement(1792300..1793013),100%,,,,,,,,,,,
NGO_1817,New_annotation_FA1090,"122aa, >lcl|AE004969.1 prot AAW90434.1 1774",50S ribosomal protein L17,AAW90434.1,complement(1793160..1793528),100%,,,,,,,,,,,
NGO1817,Old_annotation_FA1090,"122aa, >lcl|NC 002946.2 cdsid YP 208846.1",50S ribosomal protein L17,YP_208846.1,complement(1793160..1793528),100%,,,,,,,,,,,
NGO_1818,New_annotation_FA1090,"328aa, >lcl|AE004969.1 prot AAW90435.1 1775",DNA-directed RNA polymerase subunit alpha,AAW90435.1,complement(1793552..1794538),100%,,,,,,,,,,,
NGO1818,Old_annotation_FA1090,"328aa, >lcl|NC 002946.2 cdsid YP 208847.1",DNA-directed RNA polymerase subunit alpha,YP_208847.1,complement(1793552..1794538),100%,,,,,,,,,,,
NGO_1819,New_annotation_FA1090,"206aa, >lcl|AE004969.1 prot AAW90436.1 1776",30S ribosomal protein S4,AAW90436.1,complement(1794564..1795184),100%,,,,,,,,,,,
NGO1819,Old_annotation_FA1090,"206aa, >lcl|NC 002946.2 cdsid YP 208848.1",30S ribosomal protein S4,YP_208848.1,complement(1794564..1795184),100%,,,,,,,,,,,
NGO_1820,New_annotation_FA1090,"131aa, >lcl|AE004969.1 prot AAW90437.1 1777",30S ribosomal protein S11,AAW90437.1,complement(1795204..1795599),100%,,,,,,,,,,,
NGO1820,Old_annotation_FA1090,"131aa, >lcl|NC 002946.2 cdsid YP 208849.1",30S ribosomal protein S11,YP_208849.1,complement(1795204..1795599),100%,,,,,,,,,,,
NGO_1821,New_annotation_FA1090,"120aa, >lcl|AE004969.1 prot AAW90438.1 1778",30S ribosomal protein S13,AAW90438.1,complement(1795619..1795981),100%,,,,,,,,,,,
NGO1821,Old_annotation_FA1090,"120aa, >lcl|NC 002946.2 cdsid YP 208850.1",30S ribosomal protein S13,YP_208850.1,complement(1795619..1795981),100%,,,,,,,,,,,
NGO_09710,New_annotation_FA1090,"37aa, >lcl|AE004969.1 prot AKO63776.1 1779",50S ribosomal protein L36,AKO63776.1,complement(1796047..1796160),Present only in new annotation,,,,,,,,,,,
NGO_18211,New_annotation_FA1090,"72aa, >lcl|AE004969.1 prot AAW90439.1 1780",translation initiation factor IF-1,AAW90439.1,complement(1796181..1796399),100%,,,,,,,,,,,
NGO18211,Old_annotation_FA1090,"72aa, >lcl|NC 002946.2 cdsid YP 208851.1",translation initiation factor IF-1,YP_208851.1,complement(1796181..1796399),100%,,,,,,,,,,,
NGO_1822,New_annotation_FA1090,"436aa, >lcl|AE004969.1 prot AAW90440.1 1781",preprotein translocase subunit SecY,AAW90440.1,complement(1796404..1797714),100%,,,,,,,,,,,
NGO1822,Old_annotation_FA1090,"436aa, >lcl|NC 002946.2 cdsid YP 208852.1",preprotein translocase subunit SecY,YP_208852.1,complement(1796404..1797714),100%,,,,,,,,,,,
NGO_1823,New_annotation_FA1090,"144aa, >lcl|AE004969.1 prot AAW90441.1 1782",50S ribosomal protein L15,AAW90441.1,complement(1797726..1798160),100%,,,,,,,,,,,
NGO1823,Old_annotation_FA1090,"144aa, >lcl|NC 002946.2 cdsid YP 208853.1",50S ribosomal protein L15,YP_208853.1,complement(1797726..1798160),100%,,,,,,,,,,,
NGO_18231,New_annotation_FA1090,"61aa, >lcl|AE004969.1 prot AAW90442.1 1783",50S ribosomal protein L30,AAW90442.1,complement(1798162..1798347),100%,,,,,,,,,,,
NGO18231,Old_annotation_FA1090,"61aa, >lcl|NC 002946.2 cdsid YP 208854.1",50S ribosomal protein L30,YP_208854.1,complement(1798162..1798347),100%,,,,,,,,,,,
NGO_1824,New_annotation_FA1090,"172aa, >lcl|AE004969.1 prot AAW90443.1 1784",30S ribosomal protein S5,AAW90443.1,complement(1798340..1798858),100%,,,,,,,,,,,
NGO1824,Old_annotation_FA1090,"172aa, >lcl|NC 002946.2 cdsid YP 208855.1",30S ribosomal protein S5,YP_208855.1,complement(1798340..1798858),100%,,,,,,,,,,,
NGO_18241,New_annotation_FA1090,"117aa, >lcl|AE004969.1 prot AAW90444.1 1785",50S ribosomal protein L18,AAW90444.1,complement(1798877..1799230),100%,,,,,,,,,,,
NGO18241,Old_annotation_FA1090,"117aa, >lcl|NC 002946.2 cdsid YP 208856.1",50S ribosomal protein L18,YP_208856.1,complement(1798877..1799230),100%,,,,,,,,,,,
NGO_1825,New_annotation_FA1090,"177aa, >lcl|AE004969.1 prot AAW90445.1 1786",50S ribosomal protein L6,AAW90445.1,complement(1799244..1799777),100%,,,,,,,,,,,
NGO1825,Old_annotation_FA1090,"177aa, >lcl|NC 002946.2 cdsid YP 208857.1",50S ribosomal protein L6,YP_208857.1,complement(1799244..1799777),100%,,,,,,,,,,,
NGO_1826,New_annotation_FA1090,"130aa, >lcl|AE004969.1 prot AAW90446.1 1787",30S ribosomal protein S8,AAW90446.1,complement(1799791..1800183),100%,,,,,,,,,,,
NGO1826,Old_annotation_FA1090,"130aa, >lcl|NC 002946.2 cdsid YP 208858.1",30S ribosomal protein S8,YP_208858.1,complement(1799791..1800183),100%,,,,,,,,,,,
NGO_18261,New_annotation_FA1090,"101aa, >lcl|AE004969.1 prot AAW90447.1 1788",30S ribosomal protein S14,AAW90447.1,complement(1800199..1800504),100%,,,,,,,,,,,
NGO18261,Old_annotation_FA1090,"101aa, >lcl|NC 002946.2 cdsid YP 208859.1",30S ribosomal protein S14,YP_208859.1,complement(1800199..1800504),100%,,,,,,,,,,,
NGO_1827,New_annotation_FA1090,"179aa, >lcl|AE004969.1 prot AAW90448.1 1789",50S ribosomal protein L5,AAW90448.1,complement(1800507..1801046),100%,,,,,,,,,,,
NGO1827,Old_annotation_FA1090,"179aa, >lcl|NC 002946.2 cdsid YP 208860.1",50S ribosomal protein L5,YP_208860.1,complement(1800507..1801046),100%,,,,,,,,,,,
NGO_1828,New_annotation_FA1090,"107aa, >lcl|AE004969.1 prot AAW90449.1 1790",50S ribosomal protein L24,AAW90449.1,complement(1801056..1801379),100%,,,,,,,,,,,
NGO1828,Old_annotation_FA1090,"107aa, >lcl|NC 002946.2 cdsid YP 208861.1",50S ribosomal protein L24,YP_208861.1,complement(1801056..1801379),100%,,,,,,,,,,,
NGO_1829,New_annotation_FA1090,"122aa, >lcl|AE004969.1 prot AAW90450.1 1791",50S ribosomal protein L14,AAW90450.1,complement(1801391..1801759),100%,,,,,,,,,,,
